,date,year,moex_index,rts_index,ofz_10y_yield_pct,ruonia_pct,usd_rub,moex_trading_halted,brent_usd_bbl,urals_usd_bbl,espo_usd_bbl,urals_brent_spread_usd,espo_brent_spread_usd,ttf_gas_eur_mwh,wheat_usd_t,urea_usd_t,aluminium_usd_t,t_idx,moex_ret,rts_ret,rub_ret,brent_ret,urals_disc_chg,espo_disc_chg,ofz_chg
46,2014-03-06,2014,1513.0,1329.25,7.83,7.09,34.28,0,112.59,109.17,111.73,3.41,0.85,22.79,246.05,349.63,1878.65,46,-0.0052735784709367906,-0.004915489907087789,0.00967323972487355,0.021728274463065134,2.5,-0.18000000000000005,0.4900000000000002
47,2014-03-07,2014,1498.0,1316.57,6.7,7.04,34.51,0,110.19,110.0,109.75,0.19,0.44,19.21,249.29,306.09,1957.31,47,-0.009963549711191177,-0.009585003574121842,0.006687043380332991,-0.02154675331535305,-3.22,-0.41,-1.13
48,2014-03-10,2014,1540.0,1356.28,8.89,7.02,33.62,0,113.32,107.1,110.39,6.23,2.93,19.74,262.22,322.05,1898.67,48,0.027651531330509904,0.02971578804947228,-0.026128009129442464,0.028009526462629886,6.04,2.49,2.1900000000000004
49,2014-03-11,2014,1522.0,1340.85,8.91,7.04,34.31,0,111.48,110.86,108.69,0.62,2.79,19.4,250.98,319.11,1837.7,49,-0.011757156986043071,-0.011441916657826567,0.020315728889888973,-0.016370472348568477,-5.61,-0.14000000000000012,0.019999999999999574
50,2014-03-12,2014,1493.0,1315.97,8.16,6.94,33.52,0,110.45,110.97,107.88,-0.52,2.57,18.54,260.01,313.75,1931.59,50,-0.019237740882441123,-0.018729704929133284,-0.02329458125647621,-0.009282272747620723,-1.1400000000000001,-0.2200000000000002,-0.75
51,2014-03-13,2014,1515.0,1336.28,6.87,6.87,34.39,0,112.56,110.21,111.96,2.35,0.6,22.69,242.66,323.79,1944.33,51,0.01462792040427896,0.015315597703080108,0.02562354883029272,0.01892348294000712,2.87,-1.9699999999999998,-1.29
52,2014-03-14,2014,1479.0,1305.63,6.83,7.01,33.92,0,114.69,113.99,113.29,0.7,1.4,17.89,255.0,326.44,1904.86,52,-0.02404925523266943,-0.023203951088888175,-0.013761013520472432,0.01874642357029721,-1.6500000000000001,0.7999999999999999,-0.040000000000000036
53,2014-03-17,2014,1488.0,1315.77,7.72,7.06,33.73,0,112.62,112.08,111.14,0.54,1.48,18.21,252.76,327.55,1876.73,53,0.006066752682237109,0.007736362687346343,-0.005617161850143937,-0.01821351654995862,-0.15999999999999992,0.08000000000000007,0.8899999999999997
54,2014-03-18,2014,1522.0,1347.15,8.69,7.13,34.0,0,111.78,109.49,109.64,2.29,2.14,26.71,252.05,324.9,1885.38,54,0.022592323028594485,0.023569204210692085,0.007972875542602953,-0.00748666598491976,1.75,0.6600000000000001,0.9699999999999998
55,2014-03-19,2014,1503.0,1331.03,9.18,7.08,33.62,0,114.88,112.77,114.84,2.11,0.04,24.09,247.45,302.49,1808.34,55,-0.012562148668656903,-0.012038171199939107,-0.011239396635692067,0.02735545145836138,-0.18000000000000016,-2.1,0.4900000000000002
56,2014-03-20,2014,1501.0,1329.31,6.42,7.07,34.0,0,115.05,111.08,114.47,3.97,0.58,18.83,234.34,308.5,1919.44,56,-0.001331558119512799,-0.001293067983533902,0.011239396635692067,0.0014787111814609233,1.8600000000000003,0.5399999999999999,-2.76
57,2014-03-21,2014,1512.0,1340.34,7.09,6.88,33.81,0,116.5,108.82,114.23,7.68,2.27,25.69,249.29,314.07,1870.34,57,0.0073017251060161215,0.008263302502292014,-0.005603907896366778,0.012524456524380945,3.7099999999999995,1.69,0.6699999999999999
58,2014-03-24,2014,1501.0,1333.0,7.39,7.18,32.77,0,117.62,111.92,115.09,5.7,2.53,24.75,250.71,330.2,1941.82,58,-0.0073017251060161215,-0.005491271925178509,-0.031243154009071628,0.009567816026054388,-1.9799999999999995,0.2599999999999998,0.2999999999999998
59,2014-03-25,2014,1484.0,1318.6,7.02,7.16,33.54,0,115.72,108.09,112.74,7.63,2.98,21.2,244.7,330.03,1886.76,59,-0.01139040790613599,-0.010861473499510055,0.023225293684339565,-0.01628560892387565,1.9299999999999997,0.4500000000000002,-0.3700000000000001
60,2014-03-26,2014,1504.0,1337.32,7.89,7.22,33.79,0,116.55,114.66,113.98,1.88,2.57,16.11,252.95,326.42,1943.78,60,0.013387080782459648,0.014097043595084457,0.007426144331135642,0.0071468853738316795,-5.75,-0.41000000000000014,0.8700000000000001
61,2014-03-27,2014,1456.0,1295.42,7.87,7.16,34.01,0,118.12,112.94,116.85,5.18,1.28,23.9,251.62,330.04,1926.55,61,-0.03243527575315408,-0.03183264439808564,0.006489698292905466,0.013380691393956035,3.3,-1.2899999999999998,-0.019999999999999574
62,2014-03-28,2014,1473.0,1310.96,9.04,7.26,33.79,0,118.17,110.47,117.4,7.7,0.77,20.18,267.11,313.37,1920.16,62,0.011608187705999029,0.01192472636177122,-0.006489698292905466,0.00042320877520207745,2.5200000000000005,-0.51,1.169999999999999
63,2014-03-31,2014,1479.0,1318.65,6.67,7.15,33.92,0,120.99,112.71,118.08,8.28,2.91,23.15,244.08,315.53,1911.86,63,0.0040650462481695016,0.005848792727328522,0.0038399101975041816,0.023583631902462265,0.5799999999999992,2.14,-2.369999999999999
64,2014-04-01,2014,1489.0,1328.45,7.4,7.2,33.38,0,120.92,113.3,119.16,7.62,1.75,17.4,271.13,325.09,1866.13,64,0.0067385699732094295,0.007404363094235755,-0.016047892690013388,-0.0005787276421287402,-0.6599999999999993,-1.1600000000000001,0.7300000000000004
65,2014-04-02,2014,1473.0,1312.42,7.9,7.23,33.86,0,117.74,110.68,115.29,7.06,2.45,15.76,249.52,329.5,1860.2,65,-0.010803616221378931,-0.012140087832378299,0.014277458471299909,-0.02665036631114237,-0.5600000000000005,0.7000000000000002,0.5
66,2014-04-03,2014,1446.0,1287.48,8.57,7.27,33.9,0,116.66,112.95,116.1,3.71,0.56,17.65,255.13,310.62,1875.39,66,-0.018500013743920185,-0.01918594179050004,0.0011806376814154085,-0.009215082274623754,-3.3499999999999996,-1.8900000000000001,0.6699999999999999
67,2014-04-04,2014,1443.0,1283.17,8.64,7.25,33.3,0,116.48,115.08,115.03,1.4,1.45,25.46,272.01,298.85,1865.25,67,-0.0020768439448390907,-0.0033532406500684786,-0.017857617400006465,-0.0015441368771158537,-2.31,0.8899999999999999,0.07000000000000028
68,2014-04-07,2014,1474.0,1305.53,8.91,7.28,34.16,0,115.82,110.48,114.46,5.34,1.36,18.25,252.53,320.66,1922.99,68,0.0212555139754107,0.01727550978983139,0.025497971933971186,-0.005682322650732097,3.94,-0.08999999999999986,0.2699999999999996
69,2014-04-08,2014,1466.0,1296.97,7.82,7.27,33.99,0,117.37,113.33,115.41,4.04,1.96,18.56,236.41,307.42,1819.1,69,-0.005442190302685113,-0.006578313828177862,-0.004989005212344466,0.013294076314388725,-1.2999999999999998,0.5999999999999999,-1.0899999999999999
70,2014-04-09,2014,1457.0,1288.11,7.0,7.24,33.87,0,116.09,111.79,115.13,4.31,0.96,19.1,255.51,308.3,1853.13,70,-0.006158076251391975,-0.006854747003924189,-0.0035366968783443475,-0.010965585762088281,0.2699999999999996,-1.0,-0.8200000000000003
71,2014-04-10,2014,1454.0,1283.39,8.29,7.34,33.9,0,115.71,112.3,115.12,3.41,0.59,17.63,248.39,309.76,1874.54,71,-0.0020611481017400735,-0.00367101326128072,0.000885347556724092,-0.0032786914616975693,-0.8999999999999995,-0.37,1.2899999999999991
72,2014-04-11,2014,1474.0,1300.02,9.13,7.14,33.74,0,114.92,112.06,113.16,2.87,1.76,24.37,246.6,325.65,1929.24,72,0.013661414655817161,0.01287463446363546,-0.004730937268582203,-0.00685082677715787,-0.54,1.17,0.8400000000000016
73,2014-04-14,2014,1493.0,1311.83,7.09,7.24,34.32,0,113.24,113.24,110.28,-0.0,2.96,21.03,243.59,320.18,1900.54,73,0.012807724789908548,0.009043459991303848,0.017044197501939085,-0.014726773867390186,-2.87,1.2,-2.040000000000001
74,2014-04-15,2014,1472.0,1291.42,6.84,7.43,34.27,0,113.4,110.27,110.79,3.13,2.61,20.65,250.65,310.0,1848.48,74,-0.014165498250369168,-0.01568072079723315,-0.0014579387332438465,0.0014119310499536297,3.13,-0.3500000000000001,-0.25
75,2014-04-16,2014,1492.0,1307.7,6.29,7.25,34.38,0,113.55,111.79,112.9,1.76,0.65,23.87,253.66,306.5,1839.84,75,0.013495481474884663,0.012527480771715283,0.0032046640681859806,0.001321877257915105,-1.3699999999999999,-1.96,-0.5499999999999998
76,2014-04-17,2014,1461.0,1279.33,8.31,7.31,34.29,0,115.44,109.58,115.16,5.87,0.28,23.79,243.32,316.12,1959.3,76,-0.020996369013006166,-0.021933365540025562,-0.0026212334798745296,0.016507645914048297,4.11,-0.37,2.0200000000000005
77,2014-04-18,2014,1475.0,1289.81,7.82,7.43,34.36,0,110.97,108.58,110.05,2.39,0.92,17.55,238.41,310.61,1897.4,77,0.009536857023220158,0.008158417313811839,0.002039330641225856,-0.03949101995314308,-3.48,0.64,-0.4900000000000002
78,2014-04-21,2014,1489.0,1297.51,6.75,7.33,34.35,0,113.03,109.05,110.76,3.98,2.27,17.93,257.87,305.22,1915.84,78,0.009446763910089473,0.005952122453195763,-0.0002910784476966022,0.018393375690167524,1.5899999999999999,1.35,-1.0700000000000003
79,2014-04-22,2014,1462.0,1272.11,6.89,7.28,34.77,0,111.06,113.21,108.37,-2.15,2.69,24.18,251.04,317.51,1922.82,79,-0.018299392374285794,-0.01977010399095569,0.012152927351412046,-0.017582674389179154,-6.13,0.41999999999999993,0.13999999999999968
80,2014-04-23,2014,1464.0,1272.82,8.2,7.45,34.68,0,111.55,112.17,109.26,-0.62,2.29,19.6,253.14,306.34,1930.22,80,0.0013670542115331585,0.0005579721394468606,-0.0025917941074293793,0.004402325065080426,1.5299999999999998,-0.3999999999999999,1.3099999999999996
81,2014-04-24,2014,1456.0,1264.64,7.38,7.34,34.6,0,111.33,111.12,108.37,0.2,2.96,18.43,245.93,295.58,1959.59,81,-0.005479465764625324,-0.006447414608536484,-0.0023094698486620935,-0.0019741571379254808,0.8200000000000001,0.6699999999999999,-0.8199999999999994
82,2014-04-25,2014,1473.0,1277.29,7.21,7.35,34.55,0,109.43,113.02,109.01,-3.59,0.42,19.57,255.29,350.52,1946.69,82,0.011608187705999029,0.009953149324363864,-0.0014461318499998654,-0.01721368831026382,-3.79,-2.54,-0.16999999999999993
83,2014-04-28,2014,1476.0,1275.75,8.32,7.23,34.22,0,105.62,111.45,105.42,-5.83,0.21,21.9,258.89,332.1,2026.21,83,0.0020345886977874983,-0.0012064050596762854,-0.009597281749631481,-0.03543732815156453,-2.24,-0.21,1.1100000000000003
84,2014-04-29,2014,1466.0,1265.26,6.43,7.39,34.2,0,106.54,109.48,106.47,-2.94,0.07,15.02,230.12,314.48,1917.63,84,-0.006798122713821186,-0.008256606304758662,-0.0005846243954876762,0.008672754210065747,2.89,-0.13999999999999999,-1.8900000000000006
85,2014-04-30,2014,1455.0,1254.41,6.55,7.46,34.69,0,106.53,114.32,105.03,-7.79,1.5,25.15,256.28,323.59,1966.14,85,-0.0075317028410033515,-0.008612292136178645,0.014225816913098654,-9.386586574677835e-05,-4.85,1.43,0.1200000000000001
86,2014-05-01,2014,1432.0,1233.42,7.04,7.38,35.19,0,107.0,111.32,104.94,-4.32,2.06,17.92,267.33,316.56,1920.03,86,-0.01593383208500221,-0.016874543737507075,0.014310490351835181,0.004402198838799443,3.4699999999999998,0.56,0.4900000000000002
87,2014-05-02,2014,1456.0,1254.07,7.24,7.31,34.63,0,109.11,112.64,108.36,-3.53,0.75,19.04,233.9,339.38,1908.07,87,0.01662088123604022,0.016603463240885574,-0.016041592919163072,0.01952771320510127,0.7900000000000005,-1.31,0.20000000000000018
88,2014-05-05,2014,1449.0,1248.89,6.67,7.4,34.63,0,109.19,108.64,108.48,0.55,0.71,16.48,246.34,321.09,2036.11,88,-0.004819286435949088,-0.004139105215739569,0.0,0.0007329363589674287,4.08,-0.040000000000000036,-0.5700000000000003
89,2014-05-06,2014,1456.0,1254.3,6.75,7.39,34.54,0,109.09,112.54,108.87,-3.46,0.22,20.76,235.05,317.6,1938.95,89,0.004819286435949088,0.004322491239846293,-0.0026022856957981233,-0.0009162544163094921,-4.01,-0.49,0.08000000000000007
90,2014-05-07,2014,1452.0,1251.5,7.05,7.43,34.45,0,106.34,110.11,105.77,-3.77,0.57,16.73,254.93,328.06,1898.23,90,-0.002751033371890088,-0.002234816158799724,-0.002609075258864557,-0.02553172153347294,-0.31000000000000005,0.35,0.2999999999999998
91,2014-05-08,2014,1476.0,1272.52,8.57,7.42,34.55,0,108.38,108.15,107.64,0.23,0.74,20.83,259.24,340.76,1976.06,91,0.016393809775676615,0.016656354521674466,0.0028985527540110745,0.019002062061775682,4.0,0.17000000000000004,1.5200000000000005
92,2014-05-09,2014,1435.0,1237.33,8.83,7.6,34.88,0,106.62,109.8,105.0,-3.19,1.61,21.08,258.54,315.07,1858.51,92,-0.028170876966695957,-0.028043354124668518,0.009506048827100155,-0.016372458743353135,-3.42,0.8700000000000001,0.2599999999999998
93,2014-05-12,2014,1416.0,1221.37,7.14,7.51,34.65,0,110.01,108.4,109.42,1.61,0.59,24.14,247.35,290.25,1924.11,93,-0.013328853940056895,-0.012982652759508717,-0.00661587340486669,0.03130015935672947,4.8,-1.02,-1.6900000000000004
94,2014-05-13,2014,1422.0,1226.73,8.47,7.35,34.64,0,107.74,110.67,105.47,-2.93,2.27,24.03,238.76,313.45,1932.77,94,0.004228336109521003,0.004378913087518477,-0.0002886419416778807,-0.020850353498956586,-4.54,1.6800000000000002,1.330000000000001
95,2014-05-14,2014,1430.0,1233.24,7.11,7.5,34.61,0,108.04,107.45,106.05,0.59,1.99,19.34,235.72,329.17,1822.77,95,0.00561011289076685,0.00529275982813715,-0.0008664260469815055,0.0027806116720272556,3.52,-0.28,-1.3600000000000003
96,2014-05-15,2014,1458.0,1257.86,9.18,7.5,34.85,0,109.72,108.88,108.0,0.84,1.71,15.38,245.21,327.62,1878.93,96,0.01939118931465078,0.019767011884114893,0.006910479559279814,0.015430137144988088,0.25,-0.28,2.0699999999999994
97,2014-05-16,2014,1416.0,1221.46,7.47,7.61,34.89,0,110.99,111.22,108.62,-0.22,2.37,21.74,243.59,299.59,1913.86,97,-0.029229638314938633,-0.029364999770488787,0.0011471179921498376,0.011508441094485455,-1.06,0.6600000000000001,-1.71
98,2014-05-19,2014,1414.0,1220.41,7.08,7.52,34.25,0,109.28,106.09,107.25,3.19,2.04,16.94,237.55,302.07,1953.46,98,-0.0014134277971473708,-0.0008599966949214277,-0.018513690490448376,-0.015526711341408372,3.41,-0.33000000000000007,-0.3899999999999997
