,event_id,date,year,month,wave,event_type,jurisdiction,target_sector,severity_score,is_financial,is_energy,is_individual,is_sectoral,cumulative_US_events,cumulative_EU_events,cumulative_global_events,cumulative_Russia_events,cumulative_UK_events,cumulative_G7+EU_events,t_idx,trading_anchor_date
18,E0019,2020-03-15,2020,3,wave_1_crimea,individual_sdn,US,officials,2,0,0,1,0,14,0,0,0,0,0,1618,2020-03-16
19,E0020,2021-04-15,2021,4,wave_1_crimea,sectoral,US,sovereign_debt,5,1,0,0,1,15,0,0,0,0,0,1901,2021-04-15
20,E0021,2022-02-21,2022,2,wave_2_ukraine,sectoral,US,donbas_recognition,4,0,0,0,1,16,0,0,0,0,0,2123,2022-02-21
21,E0022,2022-02-22,2022,2,wave_2_ukraine,sectoral,EU,donbas_recognition,4,0,0,0,1,0,4,0,0,0,0,2124,2022-02-22
22,E0023,2022-02-22,2022,2,wave_2_ukraine,sectoral,UK,donbas_recognition,4,0,0,0,1,0,0,0,0,1,0,2124,2022-02-22
23,E0024,2022-02-24,2022,2,wave_2_ukraine,sectoral,US,finance_major_banks,9,1,0,0,1,17,0,0,0,0,0,2126,2022-02-24
24,E0025,2022-02-24,2022,2,wave_2_ukraine,sectoral,EU,finance_major_banks,9,1,0,0,1,0,5,0,0,0,0,2126,2022-02-24
25,E0026,2022-02-24,2022,2,wave_2_ukraine,sectoral,UK,finance_major_banks,9,1,0,0,1,0,0,0,0,2,0,2126,2022-02-24
26,E0027,2022-02-25,2022,2,wave_2_ukraine,individual_sdn,EU,putin_lavrov,5,0,0,1,0,0,6,0,0,0,0,2127,2022-02-25
27,E0028,2022-02-26,2022,2,wave_2_ukraine,sectoral,global,cbr_reserves_freeze,10,1,0,0,1,0,0,2,0,0,0,2128,2022-02-28
28,E0029,2022-02-26,2022,2,wave_2_ukraine,sectoral,global,swift_disconnection,9,1,0,0,1,0,0,3,0,0,0,2128,2022-02-28
29,E0030,2022-02-28,2022,2,wave_2_ukraine,sectoral,US,cbr_dollar_transactions,10,1,0,0,1,18,0,0,0,0,0,2128,2022-02-28
30,E0031,2022-03-02,2022,3,wave_2_ukraine,sectoral,EU,media_rt_sputnik,4,0,0,0,1,0,7,0,0,0,0,2130,2022-03-02
31,E0032,2022-03-08,2022,3,wave_2_ukraine,sectoral,US,oil_gas_imports_ban,9,0,1,0,1,19,0,0,0,0,0,2134,2022-03-08
32,E0033,2022-03-11,2022,3,wave_2_ukraine,sectoral,US,luxury_goods_ban,5,0,0,0,1,20,0,0,0,0,0,2137,2022-03-11
33,E0034,2022-03-15,2022,3,wave_2_ukraine,sectoral,EU,fourth_package,7,0,0,0,1,0,8,0,0,0,0,2139,2022-03-15
34,E0035,2022-04-06,2022,4,wave_2_ukraine,sectoral,EU,coal_import_ban,8,0,1,0,1,0,9,0,0,0,0,2155,2022-04-06
35,E0036,2022-04-08,2022,4,wave_2_ukraine,sectoral,US,individual_oligarchs,7,0,0,0,1,21,0,0,0,0,0,2157,2022-04-08
36,E0037,2022-05-04,2022,5,wave_2_ukraine,sectoral,EU,fifth_package,6,0,0,0,1,0,10,0,0,0,0,2175,2022-05-04
37,E0038,2022-06-03,2022,6,wave_2_ukraine,sectoral,EU,oil_import_ban_partial,9,0,1,0,1,0,11,0,0,0,0,2197,2022-06-03
38,E0039,2022-07-21,2022,7,wave_2_ukraine,sectoral,EU,seventh_package,6,0,0,0,1,0,12,0,0,0,0,2231,2022-07-21
39,E0040,2022-09-30,2022,9,wave_2_ukraine,sectoral,EU,eighth_package,7,0,0,0,1,0,13,0,0,0,0,2282,2022-09-30
40,E0041,2022-10-06,2022,10,wave_2_ukraine,sectoral,EU,oil_price_cap_framework,8,0,1,0,1,0,14,0,0,0,0,2286,2022-10-06
41,E0042,2022-12-05,2022,12,wave_2_ukraine,sectoral,G7+EU,oil_price_cap_60,10,0,1,0,1,0,0,0,0,0,1,2328,2022-12-05
42,E0043,2022-12-16,2022,12,wave_2_ukraine,sectoral,EU,ninth_package,6,0,0,0,1,0,15,0,0,0,0,2337,2022-12-16
43,E0044,2023-02-25,2023,2,wave_3_secondary,sectoral,EU,tenth_package,6,0,0,0,1,0,16,0,0,0,0,2388,2023-02-27
44,E0045,2023-04-12,2023,4,wave_3_secondary,sectoral,US,secondary_sanctions_framework,7,0,0,0,1,22,0,0,0,0,0,2420,2023-04-12
45,E0046,2023-06-23,2023,6,wave_3_secondary,sectoral,EU,eleventh_package,6,0,0,0,1,0,17,0,0,0,0,2472,2023-06-23
46,E0047,2023-09-15,2023,9,wave_3_secondary,sectoral,US,shadow_fleet_tankers,7,0,0,0,1,23,0,0,0,0,0,2532,2023-09-15
47,E0048,2023-12-18,2023,12,wave_3_secondary,sectoral,EU,twelfth_package,6,0,0,0,1,0,18,0,0,0,0,2598,2023-12-18
48,E0049,2024-02-23,2024,2,wave_3_secondary,sectoral,US,thirteenth_package_anniversary,7,0,0,0,1,24,0,0,0,0,0,2647,2024-02-23
49,E0050,2024-02-23,2024,2,wave_3_secondary,sectoral,EU,thirteenth_package,7,0,0,0,1,0,19,0,0,0,0,2647,2024-02-23
50,E0051,2024-05-08,2024,5,wave_3_secondary,sectoral,US,navalny_response,5,0,0,0,1,25,0,0,0,0,0,2700,2024-05-08
51,E0052,2024-06-12,2024,6,wave_3_secondary,sectoral,US,fourteenth_package_secondary,8,0,0,0,1,26,0,0,0,0,0,2725,2024-06-12
52,E0053,2024-06-24,2024,6,wave_3_secondary,sectoral,EU,fourteenth_package,6,0,0,0,1,0,20,0,0,0,0,2733,2024-06-24
53,E0054,2024-10-17,2024,10,wave_3_secondary,sectoral,US,shadow_fleet_expansion,6,0,0,0,1,27,0,0,0,0,0,2816,2024-10-17
54,E0055,2024-12-16,2024,12,wave_3_secondary,sectoral,EU,fifteenth_package,6,0,0,0,1,0,21,0,0,0,0,2858,2024-12-16
55,E0056,2025-01-10,2025,1,wave_3_secondary,sectoral,US,biden_outgoing_oil_majors,9,0,1,0,1,28,0,0,0,0,0,2877,2025-01-10
56,E0057,2025-02-24,2025,2,wave_3_secondary,sectoral,EU,sixteenth_package_anniversary,6,0,0,0,1,0,22,0,0,0,0,2908,2025-02-24
57,E0058,2025-07-18,2025,7,wave_3_secondary,sectoral,EU,seventeenth_package,5,0,0,0,1,0,23,0,0,0,0,3012,2025-07-18
58,E0059,2025-12-15,2025,12,wave_3_secondary,sectoral,EU,eighteenth_package,5,0,0,0,1,0,24,0,0,0,0,3118,2025-12-15
59,E0060,2026-02-24,2026,2,wave_3_secondary,sectoral,EU,nineteenth_package_anniversary,5,0,0,0,1,0,25,0,0,0,0,3169,2026-02-24
